期号,日期,开奖号码
24210,2024-08-07,"['2', '8', '5']"
24209,2024-08-06,"['5', '3', '5']"
24208,2024-08-05,"['9', '7', '3']"
24207,2024-08-04,"['9', '8', '2']"
24206,2024-08-03,"['4', '4', '6']"
24205,2024-08-02,"['2', '4', '1']"
24204,2024-08-01,"['0', '4', '7']"
24203,2024-07-31,"['5', '9', '2']"
24202,2024-07-30,"['1', '8', '7']"
24201,2024-07-29,"['5', '1', '5']"
24200,2024-07-28,"['3', '8', '0']"
24199,2024-07-27,"['5', '5', '8']"
24198,2024-07-26,"['5', '5', '0']"
24197,2024-07-25,"['1', '0', '5']"
24196,2024-07-24,"['5', '3', '9']"
24195,2024-07-23,"['5', '1', '7']"
24194,2024-07-22,"['0', '7', '8']"
24193,2024-07-21,"['0', '0', '6']"
24192,2024-07-20,"['3', '4', '0']"
24191,2024-07-19,"['4', '3', '9']"
24190,2024-07-18,"['6', '4', '4']"
24189,2024-07-17,"['7', '9', '3']"
24188,2024-07-16,"['0', '2', '4']"
24187,2024-07-15,"['8', '8', '3']"
24186,2024-07-14,"['3', '6', '7']"
24185,2024-07-13,"['8', '8', '4']"
24184,2024-07-12,"['7', '3', '0']"
24183,2024-07-11,"['5', '0', '0']"
24182,2024-07-10,"['2', '8', '2']"
24181,2024-07-09,"['3', '2', '3']"
24180,2024-07-08,"['2', '1', '5']"
24179,2024-07-07,"['5', '3', '5']"
24178,2024-07-06,"['6', '6', '3']"
24177,2024-07-05,"['5', '7', '9']"
24176,2024-07-04,"['9', '3', '2']"
24175,2024-07-03,"['1', '9', '5']"
24174,2024-07-02,"['1', '9', '1']"
24173,2024-07-01,"['6', '5', '8']"
24172,2024-06-30,"['4', '0', '0']"
24171,2024-06-29,"['0', '7', '0']"
24170,2024-06-28,"['0', '3', '1']"
24169,2024-06-27,"['7', '5', '9']"
24168,2024-06-26,"['5', '4', '1']"
24167,2024-06-25,"['5', '0', '7']"
24166,2024-06-24,"['4', '7', '9']"
24165,2024-06-23,"['9', '3', '2']"
24164,2024-06-22,"['0', '0', '6']"
24163,2024-06-21,"['5', '1', '4']"
24162,2024-06-20,"['3', '2', '0']"
24161,2024-06-19,"['6', '4', '9']"
24160,2024-06-18,"['4', '2', '5']"
24159,2024-06-17,"['4', '3', '0']"
24158,2024-06-16,"['6', '0', '6']"
24157,2024-06-15,"['2', '1', '1']"
24156,2024-06-14,"['1', '7', '2']"
24155,2024-06-13,"['8', '8', '9']"
24154,2024-06-12,"['9', '8', '3']"
24153,2024-06-11,"['3', '8', '9']"
24152,2024-06-10,"['9', '3', '6']"
24151,2024-06-09,"['9', '0', '0']"
24150,2024-06-08,"['1', '2', '9']"
24149,2024-06-07,"['6', '7', '6']"
24148,2024-06-06,"['3', '4', '3']"
24147,2024-06-05,"['5', '5', '8']"
24146,2024-06-04,"['9', '9', '1']"
24145,2024-06-03,"['2', '0', '5']"
24144,2024-06-02,"['1', '4', '7']"
24143,2024-06-01,"['1', '8', '5']"
24142,2024-05-31,"['4', '2', '6']"
24141,2024-05-30,"['8', '0', '4']"
24140,2024-05-29,"['5', '2', '0']"
24139,2024-05-28,"['5', '3', '6']"
24138,2024-05-27,"['9', '9', '7']"
24137,2024-05-26,"['1', '2', '8']"
24136,2024-05-25,"['0', '6', '2']"
24135,2024-05-24,"['8', '9', '1']"
24134,2024-05-23,"['6', '6', '0']"
24133,2024-05-22,"['2', '8', '1']"
24132,2024-05-21,"['6', '0', '4']"
24131,2024-05-20,"['5', '7', '1']"
24130,2024-05-19,"['1', '2', '2']"
24129,2024-05-18,"['2', '7', '8']"
24128,2024-05-17,"['0', '1', '7']"
24127,2024-05-16,"['7', '4', '4']"
24126,2024-05-15,"['3', '7', '9']"
24125,2024-05-14,"['7', '0', '6']"
24124,2024-05-13,"['8', '3', '5']"
24123,2024-05-12,"['5', '3', '8']"
24122,2024-05-11,"['2', '4', '6']"
24121,2024-05-10,"['5', '1', '8']"
24120,2024-05-09,"['5', '2', '9']"
24119,2024-05-08,"['2', '5', '5']"
24118,2024-05-07,"['7', '3', '3']"
24117,2024-05-06,"['1', '8', '5']"
24116,2024-05-05,"['3', '4', '8']"
24115,2024-05-04,"['6', '2', '0']"
24114,2024-05-03,"['5', '4', '8']"
24113,2024-05-02,"['3', '4', '5']"
24112,2024-05-01,"['2', '1', '8']"
24111,2024-04-30,"['3', '3', '6']"
24110,2024-04-29,"['6', '2', '9']"
24109,2024-04-28,"['2', '4', '3']"
24108,2024-04-27,"['2', '5', '2']"
24107,2024-04-26,"['4', '9', '9']"
24106,2024-04-25,"['5', '3', '3']"
24105,2024-04-24,"['2', '1', '0']"
24104,2024-04-23,"['4', '7', '4']"
24103,2024-04-22,"['5', '5', '1']"
24102,2024-04-21,"['2', '1', '5']"
24101,2024-04-20,"['0', '3', '0']"
24100,2024-04-19,"['1', '5', '7']"
24099,2024-04-18,"['1', '0', '2']"
24098,2024-04-17,"['2', '4', '7']"
24097,2024-04-16,"['8', '6', '3']"
24096,2024-04-15,"['4', '6', '3']"
